Participant,Stim,n,craving_rating_4.response_mean,craving_rating_4.response_raw,craving_rating_4.response_std,craving_rating_4.rt_mean,craving_rating_4.rt_raw,craving_rating_4.rt_std,desirability_rating_3.response_mean,desirability_rating_3.response_raw,desirability_rating_3.response_std,desirability_rating_3.rt_mean,desirability_rating_3.rt_raw,desirability_rating_3.rt_std,key_resp_11.keys_raw,key_resp_11.rt_mean,key_resp_11.rt_raw,key_resp_11.rt_std,order,Choice,Choice_EC
120,0083.jpg,1,2,2,0,4.889999866,4.889999866,0,5,5,0,3.072000027,3.072000027,0,right,1.978141308,1.978141308,0,17,REAPPRAISAL,1
120,0089.jpg,1,3,3,0,2.776000023,2.776000023,0,1,1,0,1.894999981,1.894999981,0,right,2.760278225,2.760278225,0,15,REAPPRAISAL,1
120,0090.jpg,1,4,4,0,1.513000011,1.513000011,0,2,2,0,1.873999953,1.873999953,0,right,2.099794388,2.099794388,0,19,REAPPRAISAL,1
120,0097.jpg,1,4,4,0,1.684999943,1.684999943,0,5,5,0,1.840000033,1.840000033,0,right,2.420351744,2.420351744,0,6,REAPPRAISAL,1
120,0103.jpg,1,4,4,0,2.292000055,2.292000055,0,2,2,0,2.605000019,2.605000019,0,left,2.606388807,2.606388807,0,5,RESIST,0
120,0106.jpg,1,4,4,0,1.840000033,1.840000033,0,3,3,0,2.193000078,2.193000078,0,left,2.098818779,2.098818779,0,9,RESIST,0
120,0514.jpg,1,1,1,0,1.200000048,1.200000048,0,1,1,0,1.646000028,1.646000028,0,right,1.499944568,1.499944568,0,8,REAPPRAISAL,1
120,0111.jpg,1,4,4,0,1.891000032,1.891000032,0,3,3,0,1.651000023,1.651000023,0,right,2.116513252,2.116513252,0,13,REAPPRAISAL,1
120,0120.jpg,1,2,2,0,4.598999977,4.598999977,0,1,1,0,2.621000052,2.621000051,0,right,1.416559577,1.416559577,0,11,REAPPRAISAL,1
120,0132.jpg,1,1,1,0,1.315999985,1.315999985,0,1,1,0,2.882999897,2.882999897,0,right,1.740996361,1.740996361,0,12,REAPPRAISAL,1
120,0166.jpg,1,2,2,0,1.462000012,1.462000012,0,1,1,0,1.274000049,1.274000049,0,right,1.669365644,1.669365644,0,16,REAPPRAISAL,1
120,0292.jpg,1,6,6,0,3.368000031,3.368000031,0,4,4,0,1.529000044,1.529000044,0,right,2.948542356,2.948542356,0,7,REAPPRAISAL,1
120,0331.jpg,1,2,2,0,1.825000048,1.825000048,0,3,3,0,1.595000029,1.595000029,0,left,1.586090088,1.586090088,0,19,RESIST,0
120,0163.jpg,1,5,5,0,3.558000088,3.558000088,0,5,5,0,2.130000114,2.130000114,0,left,1.89100492,1.89100492,0,4,RESIST,0
120,0164.jpg,1,1,1,0,1.840999961,1.840999961,0,1,1,0,1.980999947,1.980999947,0,right,1.790911555,1.790911555,0,1,REAPPRAISAL,1
120,0165.jpg,1,3,3,0,1.92900002,1.92900002,0,3,3,0,2.443000078,2.443000078,0,left,2.264311314,2.264311314,0,15,RESIST,0
120,0173.jpg,1,3,3,0,2.519999981,2.519999981,0,2,2,0,2.875999928,2.875999928,0,right,1.637086153,1.637086153,0,14,REAPPRAISAL,1
120,0182.jpg,1,5,5,0,2.431999922,2.431999922,0,5,5,0,2.687000036,2.687000036,0,right,2.166376829,2.166376829,0,18,REAPPRAISAL,1
120,0293.jpg,1,2,2,0,2.414999962,2.414999962,0,2,2,0,1.773000002,1.773000002,0,left,1.416544437,1.416544437,0,17,RESIST,0
